"","Review #","Brand","Variety","Style","Country","Stars","Top Ten"
"1",2580,"New Touch","T's Restaurant Tantanmen","Cup","Japan","3.75",NA
"2",2579,"Just Way","Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles","Pack","Taiwan","1",NA
"3",2578,"Nissin","Cup Noodles Chicken Vegetable","Cup","USA","2.25",NA
"4",2577,"Wei Lih","GGE Ramen Snack Tomato Flavor","Pack","Taiwan","2.75",NA
"5",2576,"Ching's Secret","Singapore Curry","Pack","India","3.75",NA
"6",2575,"Samyang","Kimchi song Song Ramen","Pack","South Korea","4.75",NA
"7",2574,"Acecook","Spice Deli Tantan Men With Cilantro","Cup","Japan","4",NA
"8",2573,"Ikeda Shoku","Nabeyaki Kitsune Udon","Tray","Japan","3.75",NA
"9",2572,"Ripe'n'Dry","Hokkaido Soy Sauce Ramen","Pack","Japan","0.25",NA
"10",2571,"Koka","The Original Spicy Stir-Fried Noodles","Pack","Singapore","2.5",NA
"11",2570,"Tao Kae Noi","Creamy tom Yum Kung Flavour","Pack","Thailand","5",NA
"12",2569,"Yamachan","Yokohama Tonkotsu Shoyu","Pack","USA","5",NA
"13",2568,"Nongshim","Mr. Bibim Stir-Fried Kimchi Flavor","Pack","South Korea","4.25",NA
"14",2567,"Nissin","Deka Buto Kimchi Pork Flavor","Bowl","Japan","4.5",NA
"15",2566,"Nissin","Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle","Pack","Hong Kong","5",NA
"16",2565,"Koka","Mushroom Flavour Instant Noodles","Cup","Singapore","3.5",NA
"17",2564,"TRDP","Mario Masala Noodles","Pack","India","3.75",NA
"18",2563,"Yamachan","Tokyo Shoyu Ramen","Pack","USA","5",NA
"19",2562,"Binh Tay","Mi Hai Cua","Pack","Vietnam","4",NA
"20",2561,"Paldo","Premium Gomtang","Pack","South Korea","4",NA
"21",2560,"Nissin","Cup Noodles Laksa Flavour","Cup","Hong Kong","4.25",NA
"22",2559,"Jackpot Teriyaki","Beef Ramen","Pack","USA","5",NA
"23",2558,"Koka","Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor","Cup","Singapore","5",NA
"24",2557,"Yamachan","Sapporo Miso Ramen","Pack","USA","4.75",NA
"25",2556,"Ching's Secret","Hot Garlic Instant Noodles","Pack","India","4.25",NA
"26",2555,"Samyang","Song Song Kimchi Big Bowl","Bowl","South Korea","4.25",NA
"27",2554,"Yum-Mie","Instant Noodles Beef In Light Soup Flavour","Pack","Ghana","3.5",NA
"28",2553,"Nissin","Hakata Ramen Noodle White Tonkotsu","Bowl","Japan","4.75",NA
"29",2552,"MyKuali","Penang White Curry Rice Vermicelli Soup","Bowl","Malaysia","5",NA
"30",2551,"Koka","Signature Tom Yum Flavor Instant Noodles","Pack","Singapore","4",NA
"31",2550,"Samyang","Paegaejang Ramen","Pack","South Korea","5",NA
"32",2549,"Nissin","Gekikara Ramen Extra Hot Ramen Goreng","Pack","Indonesia","4.5",NA
"33",2548,"Ottogi","Plain Instant Noodle No Soup Included","Pack","South Korea","Unrated",NA
"34",2547,"Sichuan Guangyou","Chongqing Spicy Hot Noodles","Bowl","China","4",NA
"35",2546,"New Touch","Sugo-Men Kyoto Backfat Shoyu Ramen","Bowl","Japan","3.75",NA
"36",2545,"Koka","Instant Noodles Laksa Singapura Flavour","Pack","Singapore","5",NA
"37",2544,"Lipton","Cup-A-Soup Chicken Noodle With White Meat Instant Soup","Box","USA","1.5",NA
"38",2543,"Koka","Curry Flavour Instant Noodles","Cup","Singapore","5",NA
"39",2542,"Acecook","Super Cup Yochan Ika Yakisoba","Tray","Japan","1.5",NA
"40",2541,"Nissin","Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup","Cup","USA","5",NA
"41",2540,"Wei Lih","GGE Noodle Snack Wheat Crackers Mexican Spicy","Pack","Taiwan","3.25",NA
"42",2539,"Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle","Cup","Hong Kong","3.75",NA
"43",2538,"Nissin","Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup","Cup","USA","5",NA
"44",2537,"Nissin","Cup NoodlesTom Yam Seafood (More Shrimptacular)","Cup","Singapore","5",NA
"45",2536,"Lele","Instant Noodles Beef","Pack","Ghana","3.5",NA
"46",2535,"Nissin","Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup","Cup","USA","5",NA
"47",2534,"Fujiwara","Hokkaido Hakodate Shoyu Ramen","Pack","Japan","4",NA
"48",2533,"Nongshim","Shin Ramyun Black","Pack","South Korea","5",NA
"49",2532,"Nissin","Nippon Onomichi Ramen","Bowl","Japan","4.75",NA
"50",2531,"Uni-President","Pickled Cabbage Beef","Pack","China","4.25",NA
"51",2530,"Ottogi","Ppushu Ppushu Noodle Snack Honey Butter","Pack","South Korea","2",NA
"52",2529,"Maruchan","Gotsumori Chanpon Ramen","Bowl","Japan","4.5",NA
"53",2528,"Prima","Juzz's Mee Creamy Chicken Flavour (Export Version)","Pack","Singapore","5",NA
"54",2527,"Uni-President","Mushroom Flavor","Pack","Vietnam","0",NA
"55",2526,"Samyang","Jjamppong Big Bowl","Bowl","South Korea","4.5",NA
"56",2525,"Sokensha","Curry Udon","Pack","Japan","3.5",NA
"57",2524,"Nissin","Straits Reborn Laksa","Pack","Singapore","5",NA
"58",2523,"Nongshim","Budae Jjigae Noodle Soup","Pack","South Korea","4.5",NA
"59",2522,"Takamori","Hearty Japanese Style Curry Udon","Pack","Japan","5",NA
"60",2521,"Nissin","Cup Noodles Potato Chips Black Pepper Crab Flavour","Pack","Singapore","4.5",NA
"61",2520,"Nissin","Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab)","Cup","Singapore","5",NA
"62",2519,"Guava Story","Anchovy Flavor Guava Rice Noodles","Tray","South Korea","1",NA
